,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,3,11,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0875,0.018333333333333333,0,2,1,3
0,4,5,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.018333333333333333,0,0,1,3
0,4,13,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.018333333333333333,0,0,1,3
0,4,4,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.018333333333333333,0,0,1,3
0,4,1,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.018333333333333333,0,0,1,3
0,1,6,2,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.018333333333333333,0,0,1,3
0,2,10,2,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.0075,0,1,1,3
1,2,10,2,9,3,6,3,12,4,6,0,0,0,0,0.16666666666666666,0.0225,0.0075,1,0,1,7
0,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0075,0,0,1,7
0,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,3
0,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.0075,0,2,1,3
1,1,4,2,4,3,6,3,12,4,6,0,0,0,0,0.16666666666666666,0.0125,0.0075,1,2,1,3
0,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,6
0,1,12,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0075,0,0,1,7
0,2,1,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.859,0.29583333333333334,0,2,1,7
1,2,1,3,13,1,7,3,1,4,8,0,0,0,0,0.16666666666666666,0.859,0.29583333333333334,1,2,1,7
2,2,1,3,13,1,7,3,1,4,8,1,10,0,0,0.16666666666666666,0.859,0.29583333333333334,2,2,1,3
3,2,1,3,13,1,7,3,1,4,8,1,10,2,10,0.16666666666666666,0.859,0.29583333333333334,3,2,1,3
0,1,11,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.29583333333333334,0,0,1,7
0,4,6,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.29583333333333334,0,0,1,3
0,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.29583333333333334,0,0,1,3
0,1,13,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.906,0.29583333333333334,0,1,1,3
1,1,13,4,1,1,7,3,1,4,8,0,0,0,0,0.16666666666666666,0.906,0.29583333333333334,1,1,1,3
2,1,13,4,1,1,7,3,1,4,8,1,10,0,0,0.16666666666666666,0.906,0.29583333333333334,2,1,1,3
3,1,13,4,1,1,7,3,1,4,8,1,10,2,10,0.16666666666666666,0.906,0.29583333333333334,3,1,1,3
0,3,6,2,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.29583333333333334,0,0,1,3
0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.115,0.0425,0,2,1,3
1,1,1,4,1,2,10,4,8,3,7,0,0,0,0,0.16666666666666666,0.23,0.06166666666666667,1,1,1,3
2,1,1,4,1,2,10,4,8,3,7,3,10,0,0,0.16666666666666666,0.425,0.09416666666666666,2,1,1,3
3,1,1,4,1,2,10,4,8,3,7,3,10,3,1,0.16666666666666666,0.975,0.18583333333333332,3,1,1,3
0,1,9,1,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.14,0.0425,0,1,1,3
1,1,9,1,11,2,10,4,8,3,7,0,0,0,0,0.16666666666666666,0.14,0.06166666666666667,1,1,1,3
2,1,9,1,11,2,10,4,8,3,7,3,10,0,0,0.16666666666666666,0.14,0.09416666666666666,2,1,1,3
3,1,9,1,11,2,10,4,8,3,7,3,10,3,1,0.16666666666666666,0.14,0.18583333333333332,3,1,1,3
0,1,7,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0425,0,0,1,6
0,1,5,4,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0425,0,0,1,6
0,1,4,2,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0425,0,0,1,3
0,2,11,3,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0425,0,0,1,7
0,2,1,3,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006166666666666667,0,0,1,3
0,2,9,4,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.021,0.006166666666666667,0,1,1,3
1,2,9,4,1,4,8,1,7,1,13,0,0,0,0,0.16666666666666666,0.021,0.006166666666666667,1,0,1,3
0,1,1,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.011,0.006166666666666667,0,2,1,3
1,1,1,2,13,4,8,1,7,1,13,0,0,0,0,0.16666666666666666,0.011,0.006166666666666667,1,2,1,3
0,4,3,1,6,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006166666666666667,0,0,1,3
0,3,8,4,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006166666666666667,0,0,1,3
0,2,5,4,9,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006166666666666667,0,0,1,3
0,3,7,1,5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.006666666666666667,0,0,1,6
0,1,12,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,3
1,1,12,2,13,3,8,1,7,2,6,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,1,1,7
